language,year,borough,county,lang_family,speaker_num
Arabic,2005,Bronx,5,Other,4398.0
Arabic,2005,Brooklyn,47,Other,27351.0
Arabic,2005,Manhattan,61,Other,6327.0
Arabic,2005,Queens,81,Other,12865.0
Arabic,2005,Staten Island,85,Other,
Arabic,2010,Bronx,5,Other,3845.0
Arabic,2010,Brooklyn,47,Other,22154.0
Arabic,2010,Manhattan,61,Other,5618.0
Arabic,2010,Queens,81,Other,14986.0
Arabic,2010,Staten Island,85,Other,
Arabic,2015,Bronx,5,Other,8653.0
Arabic,2015,Brooklyn,47,Other,29893.0
Arabic,2015,Manhattan,61,Other,8809.0
Arabic,2015,Queens,81,Other,17905.0
Arabic,2015,Staten Island,85,Other,7406.0
Arabic,2019,Bronx,5,Other,8748.0
Arabic,2019,Brooklyn,47,Other,30680.0
Arabic,2019,Manhattan,61,Other,7912.0
Arabic,2019,Queens,81,Other,11544.0
Arabic,2019,Staten Island,85,Other,12313.0
Armenian,2005,Bronx,5,Indo-European,171.0
Armenian,2005,Brooklyn,47,Indo-European,777.0
Armenian,2005,Manhattan,61,Indo-European,402.0
Armenian,2005,Queens,81,Indo-European,2266.0
Armenian,2005,Staten Island,85,Indo-European,
Armenian,2010,Bronx,5,Indo-European,
Armenian,2010,Brooklyn,47,Indo-European,55.0
Armenian,2010,Manhattan,61,Indo-European,420.0
Armenian,2010,Queens,81,Indo-European,1287.0
Armenian,2010,Staten Island,85,Indo-European,
Armenian,2015,Bronx,5,Indo-European,121.0
Armenian,2015,Brooklyn,47,Indo-European,1091.0
Armenian,2015,Manhattan,61,Indo-European,18.0
Armenian,2015,Queens,81,Indo-European,1761.0
Armenian,2015,Staten Island,85,Indo-European,
Armenian,2019,Bronx,5,Indo-European,
Armenian,2019,Brooklyn,47,Indo-European,1124.0
Armenian,2019,Manhattan,61,Indo-European,678.0
Armenian,2019,Queens,81,Indo-European,1831.0
Armenian,2019,Staten Island,85,Indo-European,
Bengali,2019,Bronx,5,Indo-European,17485.0
Bengali,2019,Brooklyn,47,Indo-European,26524.0
Bengali,2019,Manhattan,61,Indo-European,2232.0
Bengali,2019,Queens,81,Indo-European,70699.0
Bengali,2019,Staten Island,85,Indo-European,488.0
Chinese,2005,Bronx,5,Asian and Pacific Island,7902.0
Chinese,2005,Brooklyn,47,Asian and Pacific Island,125123.0
Chinese,2005,Manhattan,61,Asian and Pacific Island,72931.0
Chinese,2005,Queens,81,Asian and Pacific Island,144632.0
Chinese,2005,Staten Island,85,Asian and Pacific Island,
Chinese,2010,Bronx,5,Asian and Pacific Island,7359.0
Chinese,2010,Brooklyn,47,Asian and Pacific Island,163961.0
Chinese,2010,Manhattan,61,Asian and Pacific Island,77283.0
Chinese,2010,Queens,81,Asian and Pacific Island,181821.0
Chinese,2010,Staten Island,85,Asian and Pacific Island,
Chinese,2015,Bronx,5,Asian and Pacific Island,7550.0
Chinese,2015,Brooklyn,47,Asian and Pacific Island,181712.0
Chinese,2015,Manhattan,61,Asian and Pacific Island,91599.0
Chinese,2015,Queens,81,Asian and Pacific Island,198392.0
Chinese,2015,Staten Island,85,Asian and Pacific Island,10314.0
Chinese,2019,Bronx,5,Asian and Pacific Island,5420.0
Chinese,2019,Brooklyn,47,Asian and Pacific Island,173022.0
Chinese,2019,Manhattan,61,Asian and Pacific Island,89725.0
Chinese,2019,Queens,81,Asian and Pacific Island,208391.0
Chinese,2019,Staten Island,85,Asian and Pacific Island,22125.0
French,2005,Bronx,5,Indo-European,12145.0
French,2005,Brooklyn,47,Indo-European,31583.0
French,2005,Manhattan,61,Indo-European,30390.0
French,2005,Queens,81,Indo-European,17687.0
French,2005,Staten Island,85,Indo-European,
French,2010,Bronx,5,Indo-European,11528.0
French,2010,Brooklyn,47,Indo-European,19159.0
French,2010,Manhattan,61,Indo-European,32815.0
French,2010,Queens,81,Indo-European,13124.0
French,2010,Staten Island,85,Indo-European,
French,2015,Bronx,5,Indo-European,15385.0
French,2015,Brooklyn,47,Indo-European,20007.0
French,2015,Manhattan,61,Indo-European,36896.0
French,2015,Queens,81,Indo-European,10735.0
French,2015,Staten Island,85,Indo-European,1739.0
French,2019,Bronx,5,Indo-European,14330.0
French,2019,Brooklyn,47,Indo-European,20946.0
French,2019,Manhattan,61,Indo-European,23745.0
French,2019,Queens,81,Indo-European,10499.0
French,2019,Staten Island,85,Indo-European,2263.0
French Creole,2005,Bronx,5,Indo-European,4119.0
French Creole,2005,Brooklyn,47,Indo-European,61519.0
French Creole,2005,Manhattan,61,Indo-European,1353.0
French Creole,2005,Queens,81,Indo-European,20904.0
French Creole,2005,Staten Island,85,Indo-European,
French Creole,2010,Bronx,5,Indo-European,7564.0
French Creole,2010,Brooklyn,47,Indo-European,67167.0
French Creole,2010,Manhattan,61,Indo-European,3893.0
French Creole,2010,Queens,81,Indo-European,34080.0
French Creole,2010,Staten Island,85,Indo-European,
French Creole,2015,Bronx,5,Indo-European,5295.0
French Creole,2015,Brooklyn,47,Indo-European,76337.0
French Creole,2015,Manhattan,61,Indo-European,2771.0
French Creole,2015,Queens,81,Indo-European,24365.0
French Creole,2015,Staten Island,85,Indo-European,229.0
German,2005,Bronx,5,Indo-European,1938.0
German,2005,Brooklyn,47,Indo-European,4118.0
German,2005,Manhattan,61,Indo-European,10484.0
German,2005,Queens,81,Indo-European,6125.0
German,2005,Staten Island,85,Indo-European,
German,2010,Bronx,5,Indo-European,841.0
German,2010,Brooklyn,47,Indo-European,2792.0
German,2010,Manhattan,61,Indo-European,11497.0
German,2010,Queens,81,Indo-European,6936.0
German,2010,Staten Island,85,Indo-European,
German,2015,Bronx,5,Indo-European,950.0
German,2015,Brooklyn,47,Indo-European,5671.0
German,2015,Manhattan,61,Indo-European,8446.0
German,2015,Queens,81,Indo-European,4999.0
German,2015,Staten Island,85,Indo-European,789.0
German,2019,Bronx,5,Indo-European,304.0
German,2019,Brooklyn,47,Indo-European,4220.0
German,2019,Manhattan,61,Indo-European,7942.0
German,2019,Queens,81,Indo-European,5196.0
German,2019,Staten Island,85,Indo-European,183.0
Greek,2005,Bronx,5,Indo-European,2221.0
Greek,2005,Brooklyn,47,Indo-European,4456.0
Greek,2005,Manhattan,61,Indo-European,3762.0
Greek,2005,Queens,81,Indo-European,35809.0
Greek,2005,Staten Island,85,Indo-European,
Greek,2010,Bronx,5,Indo-European,2230.0
Greek,2010,Brooklyn,47,Indo-European,8456.0
Greek,2010,Manhattan,61,Indo-European,5458.0
Greek,2010,Queens,81,Indo-European,30302.0
Greek,2010,Staten Island,85,Indo-European,
Greek,2015,Bronx,5,Indo-European,2143.0
Greek,2015,Brooklyn,47,Indo-European,7376.0
Greek,2015,Manhattan,61,Indo-European,3807.0
Greek,2015,Queens,81,Indo-European,27388.0
Greek,2015,Staten Island,85,Indo-European,1441.0
Greek,2019,Bronx,5,Indo-European,3353.0
Greek,2019,Brooklyn,47,Indo-European,6543.0
Greek,2019,Manhattan,61,Indo-European,5973.0
Greek,2019,Queens,81,Indo-European,20243.0
Greek,2019,Staten Island,85,Indo-European,1944.0
Gujarati,2005,Bronx,5,Indo-European,51.0
Gujarati,2005,Brooklyn,47,Indo-European,2821.0
Gujarati,2005,Manhattan,61,Indo-European,703.0
Gujarati,2005,Queens,81,Indo-European,5375.0
Gujarati,2005,Staten Island,85,Indo-European,
Gujarati,2010,Bronx,5,Indo-European,732.0
Gujarati,2010,Brooklyn,47,Indo-European,1057.0
Gujarati,2010,Manhattan,61,Indo-European,1036.0
Gujarati,2010,Queens,81,Indo-European,5471.0
Gujarati,2010,Staten Island,85,Indo-European,
Gujarati,2015,Bronx,5,Indo-European,264.0
Gujarati,2015,Brooklyn,47,Indo-European,1132.0
Gujarati,2015,Manhattan,61,Indo-European,1450.0
Gujarati,2015,Queens,81,Indo-European,6062.0
Gujarati,2015,Staten Island,85,Indo-European,742.0
Gujarati,2019,Bronx,5,Indo-European,
Gujarati,2019,Brooklyn,47,Indo-European,1319.0
Gujarati,2019,Manhattan,61,Indo-European,1931.0
Gujarati,2019,Queens,81,Indo-European,2589.0
Gujarati,2019,Staten Island,85,Indo-European,628.0
Haitian and French Creole,2019,Bronx,5,Indo-European,6371.0
Haitian and French Creole,2019,Brooklyn,47,Indo-European,61133.0
Haitian and French Creole,2019,Manhattan,61,Indo-European,2762.0
Haitian and French Creole,2019,Queens,81,Indo-European,31513.0
Haitian and French Creole,2019,Staten Island,85,Indo-European,381.0
Hebrew,2005,Bronx,5,Other,309.0
Hebrew,2005,Brooklyn,47,Other,22088.0
Hebrew,2005,Manhattan,61,Other,8165.0
Hebrew,2005,Queens,81,Other,10520.0
Hebrew,2005,Staten Island,85,Other,
Hebrew,2010,Bronx,5,Other,2877.0
Hebrew,2010,Brooklyn,47,Other,23595.0
Hebrew,2010,Manhattan,61,Other,10663.0
Hebrew,2010,Queens,81,Other,9429.0
Hebrew,2010,Staten Island,85,Other,
Hebrew,2015,Bronx,5,Other,1174.0
Hebrew,2015,Brooklyn,47,Other,21219.0
Hebrew,2015,Manhattan,61,Other,11571.0
Hebrew,2015,Queens,81,Other,7887.0
Hebrew,2015,Staten Island,85,Other,1934.0
Hebrew,2019,Bronx,5,Other,1133.0
Hebrew,2019,Brooklyn,47,Other,17872.0
Hebrew,2019,Manhattan,61,Other,9976.0
Hebrew,2019,Queens,81,Other,6667.0
Hebrew,2019,Staten Island,85,Other,1359.0
Hindi,2005,Bronx,5,Indo-European,1011.0
Hindi,2005,Brooklyn,47,Indo-European,6581.0
Hindi,2005,Manhattan,61,Indo-European,3664.0
Hindi,2005,Queens,81,Indo-European,15664.0
Hindi,2005,Staten Island,85,Indo-European,
Hindi,2010,Bronx,5,Indo-European,667.0
Hindi,2010,Brooklyn,47,Indo-European,2504.0
Hindi,2010,Manhattan,61,Indo-European,6987.0
Hindi,2010,Queens,81,Indo-European,21883.0
Hindi,2010,Staten Island,85,Indo-European,
Hindi,2015,Bronx,5,Indo-European,530.0
Hindi,2015,Brooklyn,47,Indo-European,4215.0
Hindi,2015,Manhattan,61,Indo-European,6623.0
Hindi,2015,Queens,81,Indo-European,28877.0
Hindi,2015,Staten Island,85,Indo-European,1314.0
Hindi,2019,Bronx,5,Indo-European,2071.0
Hindi,2019,Brooklyn,47,Indo-European,4340.0
Hindi,2019,Manhattan,61,Indo-European,8540.0
Hindi,2019,Queens,81,Indo-European,16409.0
Hindi,2019,Staten Island,85,Indo-European,1365.0
Hmong,2005,Bronx,5,Asian and Pacific Island,
Hmong,2005,Brooklyn,47,Asian and Pacific Island,
Hmong,2005,Manhattan,61,Asian and Pacific Island,
Hmong,2005,Queens,81,Asian and Pacific Island,
Hmong,2005,Staten Island,85,Asian and Pacific Island,
Hmong,2010,Bronx,5,Asian and Pacific Island,
Hmong,2010,Brooklyn,47,Asian and Pacific Island,
Hmong,2010,Manhattan,61,Asian and Pacific Island,
Hmong,2010,Queens,81,Asian and Pacific Island,
Hmong,2010,Staten Island,85,Asian and Pacific Island,
Hmong,2015,Bronx,5,Asian and Pacific Island,
Hmong,2015,Brooklyn,47,Asian and Pacific Island,
Hmong,2015,Manhattan,61,Asian and Pacific Island,39.0
Hmong,2015,Queens,81,Asian and Pacific Island,61.0
Hmong,2015,Staten Island,85,Asian and Pacific Island,
Hmong,2019,Bronx,5,Asian and Pacific Island,
Hmong,2019,Brooklyn,47,Asian and Pacific Island,62.0
Hmong,2019,Manhattan,61,Asian and Pacific Island,
Hmong,2019,Queens,81,Asian and Pacific Island,183.0
Hmong,2019,Staten Island,85,Asian and Pacific Island,
Hungarian,2005,Bronx,5,Other,1231.0
Hungarian,2005,Brooklyn,47,Other,3359.0
Hungarian,2005,Manhattan,61,Other,1628.0
Hungarian,2005,Queens,81,Other,3222.0
Hungarian,2005,Staten Island,85,Other,
Hungarian,2010,Bronx,5,Other,602.0
Hungarian,2010,Brooklyn,47,Other,1714.0
Hungarian,2010,Manhattan,61,Other,1940.0
Hungarian,2010,Queens,81,Other,2530.0
Hungarian,2010,Staten Island,85,Other,
Hungarian,2015,Bronx,5,Other,1257.0
Hungarian,2015,Brooklyn,47,Other,2416.0
Hungarian,2015,Manhattan,61,Other,1243.0
Hungarian,2015,Queens,81,Other,2026.0
Hungarian,2015,Staten Island,85,Other,65.0
Italian,2005,Bronx,5,Indo-European,13098.0
Italian,2005,Brooklyn,47,Indo-European,31917.0
Italian,2005,Manhattan,61,Indo-European,8995.0
Italian,2005,Queens,81,Indo-European,33995.0
Italian,2005,Staten Island,85,Indo-European,
Italian,2010,Bronx,5,Indo-European,11393.0
Italian,2010,Brooklyn,47,Indo-European,26724.0
Italian,2010,Manhattan,61,Indo-European,9895.0
Italian,2010,Queens,81,Indo-European,31038.0
Italian,2010,Staten Island,85,Indo-European,
Italian,2015,Bronx,5,Indo-European,8653.0
Italian,2015,Brooklyn,47,Indo-European,20010.0
Italian,2015,Manhattan,61,Indo-European,9409.0
Italian,2015,Queens,81,Indo-European,21610.0
Italian,2015,Staten Island,85,Indo-European,11950.0
Italian,2019,Bronx,5,Indo-European,4581.0
Italian,2019,Brooklyn,47,Indo-European,16555.0
Italian,2019,Manhattan,61,Indo-European,7801.0
Italian,2019,Queens,81,Indo-European,17110.0
Italian,2019,Staten Island,85,Indo-European,10211.0
Japanese,2005,Bronx,5,Asian and Pacific Island,264.0
Japanese,2005,Brooklyn,47,Asian and Pacific Island,2581.0
Japanese,2005,Manhattan,61,Asian and Pacific Island,7929.0
Japanese,2005,Queens,81,Asian and Pacific Island,5647.0
Japanese,2005,Staten Island,85,Asian and Pacific Island,
Japanese,2010,Bronx,5,Asian and Pacific Island,390.0
Japanese,2010,Brooklyn,47,Asian and Pacific Island,3549.0
Japanese,2010,Manhattan,61,Asian and Pacific Island,10829.0
Japanese,2010,Queens,81,Asian and Pacific Island,5590.0
Japanese,2010,Staten Island,85,Asian and Pacific Island,
Japanese,2015,Bronx,5,Asian and Pacific Island,500.0
Japanese,2015,Brooklyn,47,Asian and Pacific Island,4918.0
Japanese,2015,Manhattan,61,Asian and Pacific Island,10416.0
Japanese,2015,Queens,81,Asian and Pacific Island,6038.0
Japanese,2015,Staten Island,85,Asian and Pacific Island,344.0
Japanese,2019,Bronx,5,Asian and Pacific Island,358.0
Japanese,2019,Brooklyn,47,Asian and Pacific Island,3322.0
Japanese,2019,Manhattan,61,Asian and Pacific Island,8710.0
Japanese,2019,Queens,81,Asian and Pacific Island,5465.0
Japanese,2019,Staten Island,85,Asian and Pacific Island,46.0
Khmer,2019,Bronx,5,Asian and Pacific Island,1292.0
Khmer,2019,Brooklyn,47,Asian and Pacific Island,265.0
Khmer,2019,Manhattan,61,Asian and Pacific Island,22.0
Khmer,2019,Queens,81,Asian and Pacific Island,1675.0
Khmer,2019,Staten Island,85,Asian and Pacific Island,
Korean,2005,Bronx,5,Asian and Pacific Island,4308.0
Korean,2005,Brooklyn,47,Asian and Pacific Island,3604.0
Korean,2005,Manhattan,61,Asian and Pacific Island,12249.0
Korean,2005,Queens,81,Asian and Pacific Island,50571.0
Korean,2005,Staten Island,85,Asian and Pacific Island,
Korean,2010,Bronx,5,Asian and Pacific Island,2669.0
Korean,2010,Brooklyn,47,Asian and Pacific Island,4744.0
Korean,2010,Manhattan,61,Asian and Pacific Island,10481.0
Korean,2010,Queens,81,Asian and Pacific Island,58675.0
Korean,2010,Staten Island,85,Asian and Pacific Island,
Korean,2015,Bronx,5,Asian and Pacific Island,2279.0
Korean,2015,Brooklyn,47,Asian and Pacific Island,4627.0
Korean,2015,Manhattan,61,Asian and Pacific Island,13382.0
Korean,2015,Queens,81,Asian and Pacific Island,54655.0
Korean,2015,Staten Island,85,Asian and Pacific Island,4153.0
Korean,2019,Bronx,5,Asian and Pacific Island,1455.0
Korean,2019,Brooklyn,47,Asian and Pacific Island,5921.0
Korean,2019,Manhattan,61,Asian and Pacific Island,14539.0
Korean,2019,Queens,81,Asian and Pacific Island,40194.0
Korean,2019,Staten Island,85,Asian and Pacific Island,1574.0
Laotian,2005,Bronx,5,Asian and Pacific Island,
Laotian,2005,Brooklyn,47,Asian and Pacific Island,
Laotian,2005,Manhattan,61,Asian and Pacific Island,200.0
Laotian,2005,Queens,81,Asian and Pacific Island,
Laotian,2005,Staten Island,85,Asian and Pacific Island,
Laotian,2010,Bronx,5,Asian and Pacific Island,
Laotian,2010,Brooklyn,47,Asian and Pacific Island,
Laotian,2010,Manhattan,61,Asian and Pacific Island,
Laotian,2010,Queens,81,Asian and Pacific Island,
Laotian,2010,Staten Island,85,Asian and Pacific Island,
Laotian,2015,Bronx,5,Asian and Pacific Island,
Laotian,2015,Brooklyn,47,Asian and Pacific Island,72.0
Laotian,2015,Manhattan,61,Asian and Pacific Island,
Laotian,2015,Queens,81,Asian and Pacific Island,65.0
Laotian,2015,Staten Island,85,Asian and Pacific Island,
Mon-Khmer,2005,Bronx,5,Asian and Pacific Island,448.0
Mon-Khmer,2005,Brooklyn,47,Asian and Pacific Island,362.0
Mon-Khmer,2005,Manhattan,61,Asian and Pacific Island,
Mon-Khmer,2005,Queens,81,Asian and Pacific Island,
Mon-Khmer,2005,Staten Island,85,Asian and Pacific Island,
Mon-Khmer,2010,Bronx,5,Asian and Pacific Island,1943.0
Mon-Khmer,2010,Brooklyn,47,Asian and Pacific Island,719.0
Mon-Khmer,2010,Manhattan,61,Asian and Pacific Island,102.0
Mon-Khmer,2010,Queens,81,Asian and Pacific Island,
Mon-Khmer,2010,Staten Island,85,Asian and Pacific Island,
Mon-Khmer,2015,Bronx,5,Asian and Pacific Island,841.0
Mon-Khmer,2015,Brooklyn,47,Asian and Pacific Island,
Mon-Khmer,2015,Manhattan,61,Asian and Pacific Island,208.0
Mon-Khmer,2015,Queens,81,Asian and Pacific Island,150.0
Mon-Khmer,2015,Staten Island,85,Asian and Pacific Island,
Navajo,2005,Bronx,5,Other,
Navajo,2005,Brooklyn,47,Other,
Navajo,2005,Manhattan,61,Other,
Navajo,2005,Queens,81,Other,
Navajo,2005,Staten Island,85,Other,
Navajo,2010,Bronx,5,Other,
Navajo,2010,Brooklyn,47,Other,
Navajo,2010,Manhattan,61,Other,
Navajo,2010,Queens,81,Other,
Navajo,2010,Staten Island,85,Other,
Navajo,2015,Bronx,5,Other,
Navajo,2015,Brooklyn,47,Other,
Navajo,2015,Manhattan,61,Other,86.0
Navajo,2015,Queens,81,Other,
Navajo,2015,Staten Island,85,Other,54.0
Navajo,2019,Bronx,5,Other,
Navajo,2019,Brooklyn,47,Other,
Navajo,2019,Manhattan,61,Other,
Navajo,2019,Queens,81,Other,
Navajo,2019,Staten Island,85,Other,
Other African,2005,Bronx,5,Other,26786.0
Other African,2005,Brooklyn,47,Other,9193.0
Other African,2005,Manhattan,61,Other,4225.0
Other African,2005,Queens,81,Other,6620.0
Other African,2005,Staten Island,85,Other,
Other African,2010,Bronx,5,Other,34591.0
Other African,2010,Brooklyn,47,Other,14538.0
Other African,2010,Manhattan,61,Other,6259.0
Other African,2010,Queens,81,Other,10319.0
Other African,2010,Staten Island,85,Other,
Other African,2015,Bronx,5,Other,47372.0
Other African,2015,Brooklyn,47,Other,14812.0
Other African,2015,Manhattan,61,Other,9080.0
Other African,2015,Queens,81,Other,12656.0
Other African,2015,Staten Island,85,Other,1834.0
Other African,2019,Bronx,5,Other,42444.0
Other African,2019,Brooklyn,47,Other,12570.0
Other African,2019,Manhattan,61,Other,5382.0
Other African,2019,Queens,81,Other,7530.0
Other African,2019,Staten Island,85,Other,4440.0
Other Afro-Asiatic,2019,Bronx,5,Other,5709.0
Other Afro-Asiatic,2019,Brooklyn,47,Other,923.0
Other Afro-Asiatic,2019,Manhattan,61,Other,2193.0
Other Afro-Asiatic,2019,Queens,81,Other,801.0
Other Afro-Asiatic,2019,Staten Island,85,Other,
Other Asian,2005,Bronx,5,Asian and Pacific Island,1940.0
Other Asian,2005,Brooklyn,47,Asian and Pacific Island,7217.0
Other Asian,2005,Manhattan,61,Asian and Pacific Island,3344.0
Other Asian,2005,Queens,81,Asian and Pacific Island,14063.0
Other Asian,2005,Staten Island,85,Asian and Pacific Island,
Other Asian,2010,Bronx,5,Asian and Pacific Island,2136.0
Other Asian,2010,Brooklyn,47,Asian and Pacific Island,9929.0
Other Asian,2010,Manhattan,61,Asian and Pacific Island,5120.0
Other Asian,2010,Queens,81,Asian and Pacific Island,22068.0
Other Asian,2010,Staten Island,85,Asian and Pacific Island,
Other Asian,2015,Bronx,5,Asian and Pacific Island,2370.0
Other Asian,2015,Brooklyn,47,Asian and Pacific Island,14820.0
